Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.58,36,63.1,43.77,78.87,51.98,25.52,2023
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,55.52,37,59.99,51.67,72.69,60.11,14.68,2023
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,55.47,38,58.46,45.25,75.59,59.23,33.2,2023
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,55.41,39,73.6,32.12,72.32,71.51,20.83,2023
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,55.17,40,62.01,49.73,72.17,64.05,8.15,2023
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,54.53,41,56.32,49.6,77.89,55.88,15.82,2023
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.86,42,52.5,54.93,69.0,58.02,20.33,2023
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,53.72,43,68.17,41.0,70.16,55.58,13.81,2023
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,53.31,44,51.09,46.65,75.77,59.92,28.52,2023
IR-O-U-0747,Chandigarh University,Mohali,Punjab,53.29,45,63.55,25.22,75.62,80.27,35.18,2023
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,53.22,46,55.92,44.38,66.06,68.34,30.92,2023
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,52.75,47,66.66,22.8,96.02,58.87,8.15,2023
IR-O-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,52.52,48,62.66,30.87,74.68,76.42,18.79,2023
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,52.0,49,63.88,40.86,68.45,59.4,9.48,2023
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,51.96,50,62.02,40.74,69.49,57.63,14.68,2023
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,51.86,51,63.52,33.6,68.58,72.34,17.73,2023
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,51.84,52,65.63,38.86,73.44,51.23,6.78,2023
